Name,RAM,Internal storage,Display,Rear Camera,Front Camera,Battery,Processor,Price
"OPPO A12 (Blue, 32 GB)",3 GB RAM , 32 GB ROM ,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP , 5MP Front Camera,4230 mAh Battery,MediaTek Helio P35 Processor,"₹7,990"
"OPPO A12 (Blue, 64 GB)",4 GB RAM , 64 GB ROM ,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP , 5MP Front Camera,4230 mAh Battery,MediaTek Helio P35 Processor,"₹11,490"
"Realme 7 (Mist White, 128 GB)",8 GB RAM , 128 GB ROM ,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP , 16MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G95 Processor,"₹16,999"
"Gionee Max (Red, 32 GB)",2 GB RAM , 32 GB ROM ,15.49 cm (6.1 inch) HD+ Display,13MP + Digital Camera , 5MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Octa Core Processor,"₹5,499"
"Gionee Max (Black, 32 GB)",2 GB RAM , 32 GB ROM ,15.49 cm (6.1 inch) HD+ Display,13MP + Digital Camera , 5MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Octa Core Processor,"₹5,499"
"Redmi 9i (Midnight Black, 128 GB)",4 GB RAM , 128 GB ROM ,16.59 cm (6.53 inch) HD+ Display,13MP Rear Camera , 5MP Front Camera,5000 mAh Lithium Polymer Battery,MediaTek Helio G25 Processor,"₹9,299"
"Tecno Spark Power 2 Air (Cosmic Shine, 32 GB)",3 GB RAM , 32 GB ROM ,17.78 cm (7 inch) HD+ Display,13MP + 2MP + 2MP + AI Lens Quad AI Camera , 8MP Front Camera,6000 mAh Lithium-ion Polymer Battery,MediaTek Helio A22 Quad Core Processor,"₹7,999"
"Google Pixel 4a (Just Black, 128 GB)",6 GB RAM , 128 GB ROM,14.76 cm (5.81 inch) Full HD+ Display,12.2MP Rear Camera , 8MP Front Camera,3140 mAh Battery,Qualcomm Snapdragon 730G Processor,"₹31,999"
"Realme C12 (Power Blue, 64 GB)",4 GB RAM , 64 GB ROM ,16.56 cm (6.52 inch) HD+ Display,13MP + 2MP + 2MP , 5MP Front Camera,6000 mAh Lithium-ion Battery,Mediatek Helio G35 Processor,"₹9,999"
"Realme Narzo 20 Pro (Black Ninja, 64 GB)",6 GB RAM , 64 GB ROM ,16.51 cm (6.5 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,4500 mAh Lithium-ion Battery,MediaTek Helio G95 Processor,"₹13,999"
"OPPO F15 (Unicorn White, 128 GB)",4 GB RAM , 128 GB ROM ,16.26 cm (6.4 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,4000 mAh Battery,MediaTek Helio P70 Processor,"₹14,990"
"OPPO F15 (Blazing Blue, 128 GB)",4 GB RAM , 128 GB ROM ,16.26 cm (6.4 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,4000 mAh Battery,MediaTek Helio P70 Processor,"₹14,990"
"Realme C12 (Power Silver, 64 GB)",4 GB RAM , 64 GB ROM ,16.56 cm (6.52 inch) HD+ Display,13MP + 2MP + 2MP , 5MP Front Camera,6000 mAh Lithium-ion Battery,Mediatek Helio G35 Processor,"₹9,999"
"POCO M2 Pro (Green and Greener, 128 GB)",6 GB RAM , 128 GB ROM ,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 5MP + 2MP , 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 720G Processor,"₹14,999"
"Realme C15 (Power Silver, 64 GB)",4 GB RAM , 64 GB ROM ,16.56 cm (6.52 inch) HD+ Display,13MP + 8MP + 2MP + 2MP , 8MP Front Camera,6000 mAh Lithium-ion Battery,Mediatek Helio G35 Processor,"₹10,999"
"Realme C15 (Power Blue, 64 GB)",4 GB RAM , 64 GB ROM ,16.56 cm (6.52 inch) HD+ Display,13MP + 8MP + 2MP + 2MP , 8MP Front Camera,6000 mAh Lithium-ion Battery,Mediatek Helio G35 Processor,"₹10,999"
"Motorola One Fusion+ (Twilight Blue, 128 GB)",6 GB RAM , 128 GB ROM ,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 5MP + 2MP , 16MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 730G Processor,"₹17,499"
"Infinix Hot 9 (Ocean Wave, 64 GB)",4 GB RAM , 64 GB ROM ,16.76 cm (6.6 inch) HD+ Display,13 MP + 2 MP + 2 MP + Low Light Sensor , 8MP Front Camera,5000 mAh Li-ion Polymer Battery,MediaTek Helio P22 (64 bit) Processor,"₹9,499"
"Infinix Hot 9 (Quetzal Cyan, 64 GB)",4 GB RAM , 64 GB ROM ,16.76 cm (6.6 inch) HD+ Display,13 MP + 2 MP + 2 MP + Low Light Sensor , 8MP Front Camera,5000 mAh Li-ion Polymer Battery,MediaTek Helio P22 (64 bit) Processor,"₹9,499"
"Infinix Hot 9 (Violet, 64 GB)",4 GB RAM , 64 GB ROM ,16.76 cm (6.6 inch) HD+ Display,13 MP + 2 MP + 2 MP + Low Light Sensor , 8MP Front Camera,5000 mAh Li-ion Polymer Battery,MediaTek Helio P22 (64 bit) Processor,"₹9,499"
"Tecno Spark Go 2020 (Ice jadeite, 32 GB)",2 GB RAM , 32 GB ROM ,16.56 cm (6.52 inch) HD+ Display,13MP + AI Lens Dual Camera , 8MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio A20 Quad Core Processor,"₹6,799"
"Tecno Spark Go 2020 (Mystery White, 32 GB)",2 GB RAM , 32 GB ROM ,16.56 cm (6.52 inch) HD+ Display,13MP + AI Lens Dual Camera , 8MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio A20 Quad Core Processor,"₹6,799"
"Tecno Spark Go 2020 (Aqua Blue, 32 GB)",2 GB RAM , 32 GB ROM ,16.56 cm (6.52 inch) HD+ Display,13MP + AI Lens Dual Camera , 8MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio A20 Quad Core Processor,"₹6,799"
"Realme C15 (Power Silver, 32 GB)",3 GB RAM , 32 GB ROM ,16.56 cm (6.52 inch) HD+ Display,13MP + 8MP + 2MP + 2MP , 8MP Front Camera,6000 mAh Lithium-ion Battery,Mediatek Helio G35 Processor,"₹9,999"
"Realme C15 (Power Blue, 32 GB)",3 GB RAM , 32 GB ROM ,16.56 cm (6.52 inch) HD+ Display,13MP + 8MP + 2MP + 2MP , 8MP Front Camera,6000 mAh Lithium-ion Battery,Mediatek Helio G35 Processor,"₹9,999"
"OPPO A5s (Black, 32 GB)",3 GB RAM , 32 GB ROM ,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP , 8MP Front Camera,4230 mAh Battery,MTK MT6765 Processor,"₹10,350"
"Motorola G9 Power (Metallic Sage, 64 GB)",4 GB RAM , 64 GB ROM ,17.22 cm (6.78 inch) HD+ Display,64MP + 2MP + 2MP , 16MP Front Camera,6000 mAh Li-Polymer Battery,Qualcomm Snapdragon 662 Processor,"₹11,999"
"OPPO A5s (Blue, 32 GB)",3 GB RAM , 32 GB ROM ,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP , 8MP Front Camera,4230 mAh Battery,MTK MT6765 Processor,"₹10,499"
"Infinix Smart HD 2021 (Quartz Green, 32 GB)",2 GB RAM , 32 GB ROM ,15.49 cm (6.1 inch) HD+ Display,8MP Rear Camera , 5MP Front Camera,5000 mAh Li-ion Polymer Battery,MediaTek Helio A20 Processor,"₹6,099"
"Infinix Smart HD 2021 (Topaz Blue, 32 GB)",2 GB RAM , 32 GB ROM ,15.49 cm (6.1 inch) HD+ Display,8MP Rear Camera , 5MP Front Camera,5000 mAh Li-ion Polymer Battery,MediaTek Helio A20 Processor,"₹6,099"
"Infinix Smart HD 2021 (Obsidian Black, 32 GB)",2 GB RAM , 32 GB ROM ,15.49 cm (6.1 inch) HD+ Display,8MP Rear Camera , 5MP Front Camera,5000 mAh Li-ion Polymer Battery,MediaTek Helio A20 Processor,"₹6,099"
"Vivo S1 Pro (Jazzy Blue, 128 GB)",8 GB RAM , 128 GB ROM ,16.21 cm (6.38 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP , 32MP Front Camera,4500 mAh Lithium Polymer Battery,Qualcomm Snapdragon 665 Processor,"₹18,990"
"Vivo S1 Pro (Mystic Black, 128 GB)",8 GB RAM , 128 GB ROM ,16.21 cm (6.38 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP , 32MP Front Camera,4500 mAh Lithium Polymer Battery,Qualcomm Snapdragon 665 Processor,"₹18,990"
"Vivo S1 Pro (Dreamy White, 128 GB)",8 GB RAM , 128 GB ROM ,16.21 cm (6.38 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP , 32MP Front Camera,4500 mAh Lithium Polymer Battery,Qualcomm Snapdragon 665 Processor,"₹18,990"
"Tecno Spark 6 Go (Mystery White, 64 GB)",4 GB RAM , 64 GB ROM ,16.56 cm (6.52 inch) HD+ Display,13MP + AI Lens Dual AI Camera , 8MP Front Camera,5000 mAh Li-ion Battery,MediaTek Helio A25 Processor,"₹8,699"
"Realme 7 Pro (Sun Kissed Leather, 128 GB)",8 GB RAM , 128 GB ROM ,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP , 32MP Front Camera,4500 mAh Lithium-ion Battery,Qualcomm Snapdragon 720G Processor,"₹21,999"
"Vivo Y50 (Iris Blue, 128 GB)",8 GB RAM , 128 GB ROM ,16.59 cm (6.53 inch) Display,13MP + 8MP + 2MP + 2MP , 16MP Front Camera,5000 mAh Lithium-ion Battery,Qualcomm Snapdragon 665 Processor,"₹16,490"
"Vivo Y50 (Pearl White, 128 GB)",8 GB RAM , 128 GB ROM ,16.59 cm (6.53 inch) Display,13MP + 8MP + 2MP + 2MP , 16MP Front Camera,5000 mAh Lithium-ion Battery,Qualcomm Snapdragon 665 Processor,"₹16,490"
"Motorola One Fusion+ (Moonlight White, 128 GB)",6 GB RAM , 128 GB ROM ,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 5MP + 2MP , 16MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 730G Processor,"₹17,499"
"POCO X2 (Atlantis Blue, 64 GB)",6 GB RAM , 64 GB ROM ,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP , 20MP + 2MP Dual Front Camera,4500 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 730G Processor,"₹14,999"
"OPPO A5s (Blue, 64 GB)",4 GB RAM , 64 GB ROM ,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP , 8MP Front Camera,4230 mAh Battery,MediaTek Helio P35 Processor,"₹10,999"
"Moto G 5G (Volcanic Grey, 128 GB)",6 GB RAM , 128 GB ROM ,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 2MP , 16MP Front Camera,5000 mAh Li-Polymer Battery,Qualcomm Snapdragon 750G Processor,"₹18,999"
"Vivo Y51 (Titanium Sapphire, 128 GB)",8 GB RAM , 128 GB ROM ,16.71 cm (6.58 inch) Full HD+ Display,48MP + 8MP + 2MP , 16MP Front Camera,5000 mAh Lithium-ion Battery,Qualcomm Snapdragon 665 Processor,"₹17,990"
"Itel Vision1 (Gradation Green, 32 GB)",3 GB RAM , 32 GB ROM ,15.46 cm (6.088 inch) HD+ Display,8MP + 0.3MP , 5MP Front Camera,4000 mAh Lithium-ion Polymer Battery,Unisoc SC9863A Octa Core Processor,"₹6,299"
"Itel Vision1 (Gradation Blue, 32 GB)",3 GB RAM , 32 GB ROM ,15.46 cm (6.088 inch) HD+ Display,8MP + 0.3MP , 5MP Front Camera,4000 mAh Lithium-ion Polymer Battery,Unisoc SC9863A Octa Core Processor,"₹6,299"
"Motorola G9 Power (Electric Violet, 64 GB)",4 GB RAM , 64 GB ROM ,17.22 cm (6.78 inch) HD+ Display,64MP + 2MP + 2MP , 16MP Front Camera,6000 mAh Li-Polymer Battery,Qualcomm Snapdragon 662 Processor,"₹11,999"
"POCO X2 (Matrix Purple, 64 GB)",6 GB RAM , 64 GB ROM ,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP , 20MP + 2MP Dual Front Camera,4500 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 730G Processor,"₹14,999"
"Vivo V20 2021 (Midnight Jazz, 128 GB)",8 GB RAM , 128 GB ROM ,16.36 cm (6.44 inch) Full HD+ Display,64MP + 8MP + 2MP , 44MP Front Camera,4000 mAh Lithium-ion Battery,Qualcomm Snapdragon 730 Processor,"₹24,990"
"Vivo V20 2021 (Sunset Melody, 128 GB)",8 GB RAM , 128 GB ROM ,16.36 cm (6.44 inch) Full HD+ Display,64MP + 8MP + 2MP , 44MP Front Camera,4000 mAh Lithium-ion Battery,Qualcomm Snapdragon 730 Processor,"₹24,990"
"Vivo Y20 (Obsidian Black, 64 GB)",4 GB RAM , 64 GB ROM ,16.54 cm (6.51 inch) HD+ Display,13MP + 2MP + 2MP , 8MP Front Camera,5000 mAh Lithium-ion Battery,Qualcomm Snapdragon 460 Processor,"₹12,990"
"Vivo Y20 (Purist Blue, 64 GB)",4 GB RAM , 64 GB ROM ,16.54 cm (6.51 inch) HD+ Display,13MP + 2MP + 2MP , 8MP Front Camera,5000 mAh Lithium-ion Battery,Qualcomm Snapdragon 460 Processor,"₹12,990"
"Vivo Y20 (Dawn White, 64 GB)",4 GB RAM , 64 GB ROM ,16.54 cm (6.51 inch) HD+ Display,13MP + 2MP + 2MP , 8MP Front Camera,5000 mAh Lithium-ion Battery,Qualcomm Snapdragon 460 Processor,"₹12,990"
"Infinix Note 7 (Aether Black, 64 GB)",4 GB RAM , 64 GB ROM ,17.65 cm (6.95 inch) HD+ Display,48MP + 2MP + 2MP + AI Lens Camera , 16MP Front Camera,5000 mAh Li-ion Polymer Battery,MediaTek Helio G70 Processor,"₹10,999"
"Infinix Note 7 (Forest Green, 64 GB)",4 GB RAM , 64 GB ROM ,17.65 cm (6.95 inch) HD+ Display,48MP + 2MP + 2MP + AI Lens Camera , 16MP Front Camera,5000 mAh Li-ion Polymer Battery,MediaTek Helio G70 Processor,"₹10,999"
"Vivo Y30 (Dazzle Blue, 128 GB)",4 GB RAM , 128 GB ROM ,16.43 cm (6.47 inch) HD+ Display,13MP + 8MP + 2MP + 2MP , 8MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio P35 Processor,"₹13,990"
"POCO X2 (Phoenix Red, 128 GB)",6 GB RAM , 128 GB ROM ,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP , 20MP + 2MP Dual Front Camera,4500 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 730G Processor,"₹15,999"
"Vivo Y30 (Emerald Black, 128 GB)",4 GB RAM , 128 GB ROM ,16.43 cm (6.47 inch) HD+ Display,13MP + 8MP + 2MP + 2MP , 8MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio P35 Processor,"₹13,990"
"Panasonic Eluga I7 (Black, 16 GB)",2 GB RAM , 16 GB ROM ,13.87 cm (5.46 inch) HD+ Display,8MP Rear Camera , 8MP Front Camera,4000 mAh Lithium-ion Battery,MediaTek Quad Core Processor,"₹5,001"
"Motorola E7 Plus (Misty Blue, 64 GB)",4 GB RAM , 64 GB ROM ,16.51 cm (6.5 inch) HD+ Display,48MP + 2MP , 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 460 Processor,"₹9,999"
"Realme 6i (Lunar White, 64 GB)",6 GB RAM , 64 GB ROM ,16.51 cm (6.5 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,"₹13,999"
"Tecno POVA (Magic Blue, 64 GB)",4 GB RAM , 64 GB ROM ,17.27 cm (6.8 inch) HD+ Display,16MP + 2MP + 2MP + AI Lens Quad Camera , 8MP Front Camera,6000 mAh Li-ion Polymer Battery,MediaTek Helio G80 Processor,"₹10,499"
"Realme C15 Qualcomm Edition (Power Blue, 64 GB)",4 GB RAM , 64 GB ROM ,16.56 cm (6.52 inch) HD+ Display,13MP + 8MP + 2MP + 2MP , 8MP Front Camera,6000 mAh Lithium-ion Battery,Qualcomm Snapdragon 460 Processor,"₹10,999"
"Redmi Note 9 Pro (Glacier White, 64 GB)",4 GB RAM , 64 GB ROM ,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 5MP + 2MP , 16MP Front Camera,5020 mAh Battery,Qualcomm® Snapdragon™ 720G Processor,"₹13,619"
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",6 GB RAM , 128 GB ROM ,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 5MP + 2MP , 16MP Front Camera,5020 mAh Battery,Qualcomm® Snapdragon™ 720G Processor,"₹18,689"
"Tecno Camon 15 (Dark Jade, 64 GB)",4 GB RAM , 64 GB ROM ,16.64 cm (6.55 inch) HD+ Display,48MP + 2MP + 2MP + QVGA Rear Camera , 16MP Front Camera,5000 mAh Li-ion Polymer Battery Battery,Helio P22 MT6762 Processor,"₹9,999"
"Vivo Y20i (Dawn White, 64 GB)",3 GB RAM , 64 GB ROM ,16.54 cm (6.51 inch) HD+ Display,13MP + 2MP + 2MP , 8MP Front Camera,5000 mAh Lithium-ion Battery,Qualcomm Snapdragon 460 Processor,"₹11,490"
"Vivo Y20i (Nebula Blue, 64 GB)",3 GB RAM , 64 GB ROM ,16.54 cm (6.51 inch) HD+ Display,13MP + 2MP + 2MP , 8MP Front Camera,5000 mAh Lithium-ion Battery,Qualcomm Snapdragon 460 Processor,"₹11,490"
"Motorola G9 (Sapphire Blue, 64 GB)",4 GB RAM , 64 GB ROM ,16.51 cm (6.5 inch) HD+ Display,48MP + 2MP + 2MP , 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 662 Processor,"₹10,999"
"Vivo Y11 (Mineral Blue, 32 GB)",3 GB RAM , 32 GB ROM,16.13 cm (6.35 inch) HD+ Display,13MP + 2MP , 8MP Front Camera,5000 mAh Battery,SDM439 Processor,"₹9,490"
"Vivo Y11 (Agate Red, 32 GB)",3 GB RAM , 32 GB ROM,16.13 cm (6.35 inch) HD+ Display,13MP + 2MP , 8MP Front Camera,5000 mAh Battery,SDM439 Processor,"₹9,490"
"Itel VISION1 (GRADATION GREEN, 32 GB)",2 GB RAM , 32 GB ROM ,15.46 cm (6.088 inch) HD+ Display,8MP Rear Camera , 5MP Front Camera,4000 mAh Battery,UNISOC SC9863A OCTA CORE Processor,"₹6,599"
"Samsung Galaxy M01 (Blue, 32 GB)",3 GB RAM , 32 GB ROM ,14.48 cm (5.7 inch) HD+ Display,13MP + 2MP , 5MP Front Camera,4000 mAh Lithium-ion Battery,Qualcomm Snapdragon (SDM439) Octa Core Processor,"₹8,055"
"Vivo Y30 (Dazzle Blue, 128 GB)",6 GB RAM , 128 GB ROM ,16.43 cm (6.47 inch) HD+ Display,13MP + 8MP + 2MP + 2MP , 8MP Front Camera,5000 mAh Li-ion Battery,MediaTek Helio P35 Processor,"₹14,990"
"Vivo Y51 (Crystal Symphony, 128 GB)",8 GB RAM , 128 GB ROM ,16.71 cm (6.58 inch) Full HD+ Display,48MP + 8MP + 2MP , 16MP Front Camera,5000 mAh Lithium-ion Battery,Qualcomm Snapdragon 665 Processor,"₹17,990"
"Moto G 5G (Frosted Silver, 128 GB)",6 GB RAM , 128 GB ROM ,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 2MP , 16MP Front Camera,5000 mAh Li-Polymer Battery,Qualcomm Snapdragon 750G Processor,"₹18,999"
"Realme C15 Qualcomm Edition (Power Silver, 64 GB)",4 GB RAM , 64 GB ROM ,16.56 cm (6.52 inch) HD+ Display,13MP + 8MP + 2MP + 2MP , 8MP Front Camera,6000 mAh Lithium-ion Battery,Qualcomm Snapdragon 460 Processor,"₹10,999"
"Realme 7 Pro (Mirror Silver, 128 GB)",6 GB RAM , 128 GB ROM ,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP , 32MP Front Camera,4500 mAh Lithium-ion Battery,Qualcomm Snapdragon 720G Processor,"₹19,999"
"Realme 7 Pro (Mirror Silver, 128 GB)",8 GB RAM , 128 GB ROM ,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP , 32MP Front Camera,4500 mAh Lithium-ion Battery,Qualcomm Snapdragon 720G Processor,"₹21,999"
"Redmi Note 9 Pro (Glacier White, 128 GB)",4 GB RAM , 128 GB ROM ,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 5MP + 2MP , 16MP Front Camera,5020 mAh Battery,Qualcomm® Snapdragon™ 720G Processor,"₹15,077"
"Redmi Note 9 Pro (Aurora Blue, 128 GB)",4 GB RAM , 128 GB ROM ,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP , 16MP Front Camera,5020 mAh Battery,Qualcomm Snapdragon 720G Processor,"₹15,220"
"OPPO A5s (Gold, 64 GB)",4 GB RAM , 64 GB ROM ,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP , 8MP Front Camera,4230 mAh Battery,MediaTek Helio P35 Processor,"₹14,275"
"Tecno POVA (Speed Purple, 64 GB)",4 GB RAM , 64 GB ROM ,17.27 cm (6.8 inch) HD+ Display,16MP + 2MP + 2MP + AI Lens Quad Camera , 8MP Front Camera,6000 mAh Li-ion Polymer Battery,MediaTek Helio G80 Processor,"₹10,499"
"Tecno POVA (Magic Blue, 128 GB)",6 GB RAM , 128 GB ROM ,17.27 cm (6.8 inch) HD+ Display,16MP + 2MP + 2MP + AI Lens Quad Camera , 8MP Front Camera,6000 mAh Li-ion Polymer Battery,MediaTek Helio G80 Processor,"₹11,999"
"Realme 6 Pro (Lightning Blue, 128 GB)",8 GB RAM , 128 GB ROM ,16.76 cm (6.6 inch) Full HD+ Display,64MP + 12MP + 8MP + 2MP , 16MP + 8MP Dual Front Camera,4300 mAh Battery,Snapdragon 720G Processor,"₹17,999"
"Lava Z66 (Berry Red, 32 GB)",3 GB RAM , 32 GB ROM ,15.44 cm (6.08 inch) HD+ Display,13MP + 5MP , 13MP Front Camera,3950 mAh Lithium Polymer Battery,Octa Core Processor,"₹6,877"
"Lava Z66 (Marine Blue, 32 GB)",3 GB RAM , 32 GB ROM ,15.44 cm (6.08 inch) HD+ Display,13MP + 5MP , 13MP Front Camera,3950 mAh Lithium Polymer Battery,Octa Core Processor,"₹6,877"
"Vivo Y12s (Glacier Blue, 32 GB)",3 GB RAM , 32 GB ROM ,16.54 cm (6.51 inch) HD+ Display,13MP + 2MP , 8MP Front Camera,5000 mAh Li-ion Battery,Snapdragon 439 Processor,"₹9,990"
"Vivo Y12s (Phantom Black, 32 GB)",3 GB RAM , 32 GB ROM ,16.54 cm (6.51 inch) HD+ Display,13MP + 2MP , 8MP Front Camera,5000 mAh Li-ion Battery,Snapdragon 439 Processor,"₹9,990"
"Realme 6 (Comet Blue, 64 GB)",4 GB RAM , 64 GB ROM ,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP , 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,"₹13,999"
"Realme 6i (Eclipse Black, 64 GB)",6 GB RAM , 64 GB ROM ,16.51 cm (6.5 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,"₹13,999"
"Infinix Hot 9 Pro (Ocean Wave, 64 GB)",4 GB RAM , 64 GB ROM ,16.76 cm (6.6 inch) HD+ Display,48 MP + 2 MP + 2 MP + Low Light Sensor , 8MP Front Camera,5000 mAh Li-ion Polymer Battery,MediaTek Helio P22 (64 bit) Processor,"₹10,499"
"Infinix Hot 9 Pro (Quetzal Cyan, 64 GB)",4 GB RAM , 64 GB ROM ,16.76 cm (6.6 inch) HD+ Display,48 MP + 2 MP + 2 MP + Low Light Sensor , 8MP Front Camera,5000 mAh Li-ion Polymer Battery,MediaTek Helio P22 (64 bit) Processor,"₹10,499"
"Realme C15 Qualcomm Edition (Power Silver, 32 GB)",3 GB RAM , 32 GB ROM ,16.56 cm (6.52 inch) HD+ Display,13MP + 8MP + 2MP + 2MP , 8MP Front Camera,6000 mAh Lithium-ion Battery,Qualcomm Snapdragon 460 Processor,"₹9,999"
"Realme C15 Qualcomm Edition (Power Blue, 32 GB)",3 GB RAM , 32 GB ROM ,16.56 cm (6.52 inch) HD+ Display,13MP + 8MP + 2MP + 2MP , 8MP Front Camera,6000 mAh Lithium-ion Battery,Qualcomm Snapdragon 460 Processor,"₹9,999"
"Redmi Note 9 Pro (Interstellar Black, 64 GB)",4 GB RAM , 64 GB ROM ,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 5MP + 2MP , 16MP Front Camera,5020 mAh Battery,Qualcomm® Snapdragon™ 720G Processor,"₹13,419"
"Redmi Note 9 Pro (Champagne Gold, 128 GB)",4 GB RAM , 128 GB ROM ,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 5MP + 2MP , 16MP Front Camera,5020 mAh Battery,Qualcomm® Snapdragon™ 720G Processor,"₹14,979"
"Redmi 9 Power (Blazing Blue, 64 GB)",4 GB RAM , 64 GB ROM,16.59 cm (6.53 inch) Full HD+ Display,48MP Rear Camera , 8MP Front Camera,6000 mAh Battery,QualcommÂ® Snapdragonâ¢ 662 Processor,"₹11,878"
"OPPO A33 (Mint Cream, 32 GB)",3 GB RAM , 32 GB ROM ,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP + 2MP , 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 460 Processor,"₹10,990"
"Vivo Y91i (Fusion Black, 32 GB)",3 GB RAM , 32 GB ROM ,15.8 cm (6.22 inch) HD+ Display,13MP Rear Camera , 5MP Front Camera,4030 mAh Lithium-ion Battery,MediaTek Helio P22 Processor,"₹8,490"
"Realme 6 Pro (Lightning Orange, 64 GB)",6 GB RAM , 64 GB ROM ,16.76 cm (6.6 inch) Full HD+ Display,64MP + 12MP + 8MP + 2MP , 16MP + 8MP Dual Front Camera,4300 mAh Battery,Snapdragon 720G Processor,"₹15,999"
"Realme 6i (Lunar White, 64 GB)",4 GB RAM , 64 GB ROM ,16.51 cm (6.5 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,"₹12,999"
"Tecno POVA (Speed Purple, 128 GB)",6 GB RAM , 128 GB ROM ,17.27 cm (6.8 inch) HD+ Display,16MP + 2MP + 2MP + AI Lens Quad Camera , 8MP Front Camera,6000 mAh Li-ion Polymer Battery,MediaTek Helio G80 Processor,"₹11,999"
"Vivo Y91i (Fusion Black, 32 GB)",3 GB RAM , 32 GB ROM ,15.8 cm (6.22 inch) HD+ Display,13MP Rear Camera , 5MP Front Camera,4030 mAh Lithium-ion Battery,MediaTek Helio P22 Processor,"₹8,490"
"Realme 6 Pro (Lightning Orange, 64 GB)",6 GB RAM , 64 GB ROM ,16.76 cm (6.6 inch) Full HD+ Display,64MP + 12MP + 8MP + 2MP , 16MP + 8MP Dual Front Camera,4300 mAh Battery,Snapdragon 720G Processor,"₹15,999"
"OPPO F17 Pro (Metallic White, 128 GB)",8 GB RAM , 128 GB ROM ,16.33 cm (6.43 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP , 16MP + 2MP Dual Front Camera,4015 mAh Lithium-ion Battery,MediaTek Helio P95 Processor,"₹21,490"
