,Name,RAM,Internal storage,Display,Rear Camera,Front Camera,Battery,Processor,Price
110,Vivo S1 Pro (Mystic Black),8 GB , 128 GB ,16.21 ,48MP + 8MP + 2MP + 2MP , 32,4500 ,Qualcomm Snapdragon 665 Processor," 18,990"
111,Vivo S1 Pro (Dreamy White),8 GB , 128 GB ,16.21 ,48MP + 8MP + 2MP + 2MP , 32,4500 ,Qualcomm Snapdragon 665 Processor," 18,990"
112,Tecno Spark 6 Go (Mystery White),4 GB , 64 GB ,16.56 ,13MP + AI Lens Dual AI Camera , 8,5000 ,MediaTek Helio A25 Processor," 8,699"
113,Realme 7 Pro (Sun Kissed Leather),8 GB , 128 GB ,16.26 ,64MP + 8MP + 2MP + 2MP , 32,4500 ,Qualcomm Snapdragon 720G Processor," 21,999"
114,Vivo Y50 (Iris Blue),8 GB , 128 GB ,16.59 ,13MP + 8MP + 2MP + 2MP , 16,5000 ,Qualcomm Snapdragon 665 Processor," 16,490"
115,Vivo Y50 (Pearl White),8 GB , 128 GB ,16.59 ,13MP + 8MP + 2MP + 2MP , 16,5000 ,Qualcomm Snapdragon 665 Processor," 16,490"
116,Motorola One Fusion+ (Moonlight White),6 GB , 128 GB ,16.51 ,64MP + 8MP + 5MP + 2MP , 16,5000 ,Qualcomm Snapdragon 730G Processor," 17,499"
117,POCO X2 (Atlantis Blue),6 GB , 64 GB ,16.94 ,64MP + 8MP + 2MP + 2MP , 20,4500 ,Qualcomm Snapdragon 730G Processor," 14,999"
118,OPPO A5s (Blue),4 GB , 64 GB ,15.75 ,13MP + 2MP , 8,4230 ,MediaTek Helio P35 Processor," 10,999"
119,Moto G 5G (Volcanic Grey),6 GB , 128 GB ,16.94 ,48MP + 8MP + 2MP , 16,5000 ,Qualcomm Snapdragon 750G Processor," 18,999"
120,Vivo Y51 (Titanium Sapphire),8 GB , 128 GB ,16.71 ,48MP + 8MP + 2MP , 16,5000 ,Qualcomm Snapdragon 665 Processor," 17,990"
121,Itel Vision1 (Gradation Green),3 GB , 32 GB ,15.46 ,8MP + 0.3MP , 5,4000 ,Unisoc SC9863A Octa Core Processor," 6,299"
122,Itel Vision1 (Gradation Blue),3 GB , 32 GB ,15.46 ,8MP + 0.3MP , 5,4000 ,Unisoc SC9863A Octa Core Processor," 6,299"
123,Motorola G9 Power (Electric Violet),4 GB , 64 GB ,17.22 ,64MP + 2MP + 2MP , 16,6000 ,Qualcomm Snapdragon 662 Processor," 11,999"
124,POCO X2 (Matrix Purple),6 GB , 64 GB ,16.94 ,64MP + 8MP + 2MP + 2MP , 20,4500 ,Qualcomm Snapdragon 730G Processor," 14,999"
125,Vivo V20 2021 (Midnight Jazz),8 GB , 128 GB ,16.36 ,64MP + 8MP + 2MP , 44,4000 ,Qualcomm Snapdragon 730 Processor," 24,990"
126,Vivo V20 2021 (Sunset Melody),8 GB , 128 GB ,16.36 ,64MP + 8MP + 2MP , 44,4000 ,Qualcomm Snapdragon 730 Processor," 24,990"
127,Vivo Y20 (Obsidian Black),4 GB , 64 GB ,16.54 ,13MP + 2MP + 2MP , 8,5000 ,Qualcomm Snapdragon 460 Processor," 12,990"
128,Vivo Y20 (Purist Blue),4 GB , 64 GB ,16.54 ,13MP + 2MP + 2MP , 8,5000 ,Qualcomm Snapdragon 460 Processor," 12,990"
129,Vivo Y20 (Dawn White),4 GB , 64 GB ,16.54 ,13MP + 2MP + 2MP , 8,5000 ,Qualcomm Snapdragon 460 Processor," 12,990"
130,Infinix Note 7 (Aether Black),4 GB , 64 GB ,17.65 ,48MP + 2MP + 2MP + AI Lens Camera , 16,5000 ,MediaTek Helio G70 Processor," 10,999"
131,Infinix Note 7 (Forest Green),4 GB , 64 GB ,17.65 ,48MP + 2MP + 2MP + AI Lens Camera , 16,5000 ,MediaTek Helio G70 Processor," 10,999"
132,Vivo Y30 (Dazzle Blue),4 GB , 128 GB ,16.43 ,13MP + 8MP + 2MP + 2MP , 8,5000 ,MediaTek Helio P35 Processor," 13,990"
133,POCO X2 (Phoenix Red),6 GB , 128 GB ,16.94 ,64MP + 8MP + 2MP + 2MP , 20,4500 ,Qualcomm Snapdragon 730G Processor," 15,999"
134,Vivo Y30 (Emerald Black),4 GB , 128 GB ,16.43 ,13MP + 8MP + 2MP + 2MP , 8,5000 ,MediaTek Helio P35 Processor," 13,990"
135,Panasonic Eluga I7 (Black),2 GB , 16 GB ,13.87 ,8MP Rear Camera , 8,4000 ,MediaTek Quad Core Processor," 5,001"
136,Motorola E7 Plus (Misty Blue),4 GB , 64 GB ,16.51 ,48MP + 2MP , 8,5000 ,Qualcomm Snapdragon 460 Processor," 9,999"
137,Realme 6i (Lunar White),6 GB , 64 GB ,16.51 ,48MP + 8MP + 2MP + 2MP , 16,4300 ,MediaTek Helio G90T Processor," 13,999"
138,Tecno POVA (Magic Blue),4 GB , 64 GB ,17.27 ,16MP + 2MP + 2MP + AI Lens Quad Camera , 8,6000 ,MediaTek Helio G80 Processor," 10,499"
139,Realme C15 Qualcomm Edition (Power Blue),4 GB , 64 GB ,16.56 ,13MP + 8MP + 2MP + 2MP , 8,6000 ,Qualcomm Snapdragon 460 Processor," 10,999"
140,Redmi Note 9 Pro (Glacier White),4 GB , 64 GB ,16.94 ,48MP + 8MP + 5MP + 2MP , 16,5020 ,Qualcomm® Snapdragon™ 720G Processor," 13,619"
141,Redmi Note 9 Pro (Interstellar Black),6 GB , 128 GB ,16.94 ,48MP + 8MP + 5MP + 2MP , 16,5020 ,Qualcomm® Snapdragon™ 720G Processor," 18,689"
142,Tecno Camon 15 (Dark Jade),4 GB , 64 GB ,16.64 ,48MP + 2MP + 2MP + QVGA Rear Camera , 16,5000 ,Helio P22 MT6762 Processor," 9,999"
143,Vivo Y20i (Dawn White),3 GB , 64 GB ,16.54 ,13MP + 2MP + 2MP , 8,5000 ,Qualcomm Snapdragon 460 Processor," 11,490"
144,Vivo Y20i (Nebula Blue),3 GB , 64 GB ,16.54 ,13MP + 2MP + 2MP , 8,5000 ,Qualcomm Snapdragon 460 Processor," 11,490"
145,Motorola G9 (Sapphire Blue),4 GB , 64 GB ,16.51 ,48MP + 2MP + 2MP , 8,5000 ,Qualcomm Snapdragon 662 Processor," 10,999"
146,Vivo Y11 (Mineral Blue),3 GB , 32 GB ,16.13 ,13MP + 2MP , 8,5000 ,SDM439 Processor," 9,490"
147,Vivo Y11 (Agate Red),3 GB , 32 GB ,16.13 ,13MP + 2MP , 8,5000 ,SDM439 Processor," 9,490"
148,Itel VISION1 (GRADATION GREEN),2 GB , 32 GB ,15.46 ,8MP Rear Camera , 5,4000 ,UNISOC SC9863A OCTA CORE Processor," 6,599"
149,Samsung Galaxy M01 (Blue),3 GB , 32 GB ,14.48 ,13MP + 2MP , 5,4000 ,Qualcomm Snapdragon (SDM439) Octa Core Processor," 8,055"
150,Vivo Y30 (Dazzle Blue),6 GB , 128 GB ,16.43 ,13MP + 8MP + 2MP + 2MP , 8,5000 ,MediaTek Helio P35 Processor," 14,990"
151,Vivo Y51 (Crystal Symphony),8 GB , 128 GB ,16.71 ,48MP + 8MP + 2MP , 16,5000 ,Qualcomm Snapdragon 665 Processor," 17,990"
152,Moto G 5G (Frosted Silver),6 GB , 128 GB ,16.94 ,48MP + 8MP + 2MP , 16,5000 ,Qualcomm Snapdragon 750G Processor," 18,999"
