,Name,RAM,Internal storage,Display,Rear Camera,Front Camera,Battery,Processor,Price
235,Redmi 8A Dual (Sea Blue),3 GB , 32 GB ,15.8 ,13MP + 2MP , 8,5000 ,Qualcomm Snapdragon 439 Processor," 8,995"
236,Redmi 8 (Sapphire Blue),4 GB , 64 GB ,15.8 ,12MP + 2MP , 8,5000 ,Qualcomm Snapdragon 439 Processor," 9,999"
237,Micromax IN 1b (Purple),2 GB , 32 GB ,16.56 ,13MP + 2MP , 8,5000 ,MediaTek Helio G35 (MT6765V/WB) Processor," 6,999"
238,Redmi Note 8 (Cosmic Purple),4 GB , 64 GB ,16.0 ,48MP + 8MP + 2MP + 2MP , 13,4000 ,Qualcomm Snapdragon 665 Processor," 12,999"
239,OPPO A31 (Mystery Black),4 GB , 64 GB ,16.51 ,12MP + 2MP + 2MP , 8,4230 ,MediaTek Helio P35 Octa Core Processor," 10,990"
240,Lava Z61 Pro (Lavender Blue),2 GB , 16 GB ,13.84 ,8MP Rear Camera , 5,3100 ,Unisoc Octa Core Processor," 5,377"
241,Lava Z61 Pro (Champagne Gold),2 GB , 16 GB ,13.84 ,8MP Rear Camera , 5,3100 ,Unisoc Octa Core Processor," 5,377"
242,Vivo Y20A (Nebula Blue),3 GB , 64 GB ,16.54 ,13MP + 2MP + 2MP , 8,5000 ,Qualcomm Snapdragon 439 Processor," 11,490"
243,iQOO 3 (Quantum Silver),8 GB , 256 GB ,16.36 ,48MP + 13MP + 13MP + 2MP , 16,4440 ,Qualcomm Snapdragon 865 Processor," 32,990"
244,Redmi 8 (Ruby Red),4 GB , 64 GB ,15.8 ,12MP + 2MP , 8,5000 ,Qualcomm Snapdragon 439 Processor," 9,999"
245,OPPO A31 (Mystery Black),6 GB , 128 GB ,16.51 ,12MP + 2MP + 2MP , 8,4230 ,MediaTek Helio P35 Octa Core Processor," 15,990"
246,OPPO A1K (Red),2 GB , 32 GB ,15.49 ,8MP Rear Camera , 5,4000 ,MediaTek Helio P22 Processor," 7,990"
247,Realme 5s (Crystal Blue),4 GB , 128 GB ,16.51 ,48MP + 8MP + 2MP + 2MP , 13,5000 ,Qualcomm Snapdragon 665 Processor," 11,999"
248,Vivo Y12 (Burgundy Red),3 GB , 64 GB ,16.13 ,13MP + 2MP + 8MP , 8,5000 ,MediaTek Helio P22 Processor," 10,990"
249,Redmi 8A Dual (Midnight Grey),3 GB , 32 GB ,15.8 ,13MP + 2MP , 8,5000 ,Qualcomm Snapdragon 439 Processor," 8,440"
250,Redmi 9 Prime (Space Blue),4 GB , 128 GB ,16.59 ,13MP Rear Camera , 8,5020 ,MediaTek Helio G80 Processor," 11,638"
251,Vivo X50 (Glaze Black),8 GB , 128 GB ,16.66 ,48MP + 13MP + 8MP + 5MP , 32,4200 ,Qualcomm Snapdragon 730 Processor," 34,990"
252,Nokia 2.4 (Fjord Blue),3 GB , 64 GB ,16.51 ,13MP + 2MP , 5,4500 ,MediaTek Helio P22 Processor," 10,399"
253,Panasonic ELUGA I6 (Black),2 GB , 16 GB ,13.84 ,8MP Rear Camera , 5,3000 ,MediaTek Processor," 4,499"
254,Realme 5i (Aqua Blue),4 GB , 64 GB ,16.56 ,12MP + 8MP + 2MP + 2MP , 8,5000 ,Qualcomm Snapdragon 665 2 GHz Processor," 10,999"
255,Nokia C3 (Nordic Blue),2 GB , 16 GB ,15.21 ,8MP Rear Camera , 5,3040 ,SC9863A Octa Core Processor," 6,999"
256,Tecno Camon 16 (Purist Blue),4 GB , 64 GB ,17.27 ,64MP + 2MP + 2MP + AI Lens Quad AI Camera , 16,5000 ,MediaTek Helio G70 Processor," 11,499"
257,Samsung Galaxy M11 (Metallic Blue),3 GB , 32 GB ,16.26 ,13MP + 5MP + 2MP , 8,5000 ,Qualcomm Snapdragon (SDM450-F01) Octa Core Processor," 10,388"
258,Samsung Galaxy A21s (Blue),4 GB , 64 GB ,16.51 ,48MP + 8MP + 2MP + 2MP , 13,5000 ,Exynos 850 Octa Core Processor," 14,999"
259,Vivo Y20A (Dawn White),3 GB , 64 GB ,16.54 ,13MP + 2MP + 2MP , 8,5000 ,Qualcomm Snapdragon 439 Processor," 11,490"
260,Samsung Galaxy A31 (Prism Crush White),6 GB , 128 GB ,16.26 ,48MP + 8MP + 5MP + 5MP , 20,5000 ,MediaTek (MT6768) Octa Core Processor," 17,999"
261,OPPO F17 (Classic Silver),6 GB , 128 GB ,16.36 ,16MP + 8MP + 2MP + 2MP , 16,4015 ,Qualcomm Snapdragon 662 Processor," 16,990"
262,Realme Narzo 10A (So White),3 GB , 32 GB ,16.56 ,12MP + 2MP + 2MP , 5,5000 ,MediaTek Helio G70 (12 nm) Processor," 8,999"
263,Samsung Galaxy M21 (Raven Black),4 GB , 64 GB ,16.26 ,48MP + 8MP + 5MP , 20,6000 ,Exynos 9611-Octa Core processor Processor," 14,990"
264,Vivo Y12 (Aqua Blue),3 GB , 64 GB ,16.13 ,13MP + 2MP + 8MP , 8,5000 ,MediaTek Helio P22 Processor," 10,990"
265,OPPO A9 2020 (Marine Green),8 GB , 128 GB ,16.51 ,48MP + 8MP + 2MP + 2MP , 16,5000 ,Qualcomm Snapdragon 665 Processor," 14,990"
266,Realme 6 (Comet White),4 GB , 64 GB ,16.51 ,64MP + 8MP + 2MP + 2MP , 16,4300 ,MediaTek Helio G90T Processor," 13,999"
267,Redmi 8A Dual (Midnight Grey),3 GB , 64 GB ,15.8 ,13MP + 2MP , 8,5000 ,Qualcomm Snapdragon 439 Processor," 9,790"
268,Realme X3 SuperZoom (Glacier Blue),12 GB , 256 GB ,16.69 ,64MP + 8MP + 8MP + 2MP , 32,4200 ,Qualcomm Snapdragon 855+ Processor," 28,999"
269,OPPO A11K (Deep Blue),2 GB , 32 GB ,15.8 ,13MP + 2MP , 5,4230 ,MediaTek Helio P35 Octa Core Processor," 8,490"
270,OPPO A11K (Flowing Silver),2 GB , 32 GB ,15.8 ,13MP + 2MP , 5,4230 ,MediaTek Helio P35 Octa Core Processor," 8,490"
271,OPPO A52 (Twilight Black),6 GB , 128 GB ,16.51 ,12MP + 8MP + 2MP + 2MP , 16,5000 ,Qualcomm Snapdragon 665 Processor," 16,980"
272,Tecno Spark 5 Pro (Ice Jadeite),4 GB , 64 GB ,16.64 ,16 MP + 2 MP + 2 MP + QVGA Quad AI Camera , 8,5000 ,MediaTek Helio A25 Octa Core Processor," 10,495"
273,OPPO Reno3 Pro (Sky White),8 GB , 128 GB ,16.26 ,64MP + 13MP + 8MP + 2MP , 44,4025 ,MediaTek Helio P95 Processor," 24,978"
274,Redmi 8 (Onyx Black),4 GB , 64 GB ,15.8 ,12MP + 2MP , 8,5000 ,Qualcomm Snapdragon 439 Processor," 10,999"
275,Vivo Y91i (Ocean Blue),2 GB , 16 GB ,15.8 ,13MP Rear Camera , 5,4030 ,MTK Helio P22 Processor," 8,950"
276,Samsung Galaxy M31 (Space Black),6 GB , 64 GB ,16.26 ,64MP + 8MP + 5MP + 5MP , 32,6000 ,Samsung Exynos 9 Octa 9611 Processor," 16,769"
277,Samsung M01 core (Red),2 GB , 32 GB ,13.46 ,8MP Rear Camera , 5,3000 ,MediaTek | MT6739WW quad core  Processor," 6,468"
278,Samsung Galaxy Note 10 Plus (Aura Black),12 GB , 256 GB ,17.27 ,12MP (Dual Aperture) + 12MP + 16MP + TOF , 10,4300 ,Super AMOLED Display," 54,999"
